iter	MAE	RMSE
0	18.50763395	33.8567216
1	18.4619327	33.78977165
2	18.42139468	33.73171851
3	18.38382918	33.67590774
4	18.34532635	33.61985781
5	18.3077072	33.5622005
6	18.26862874	33.50119327
7	18.23366103	33.44241786
8	18.20250557	33.38421373
9	18.16932941	33.32834658
10	18.13845963	33.27199243
11	18.10914901	33.22215421
12	18.07350026	33.16287458
13	18.04573954	33.1136805
14	18.01281042	33.06537818
15	17.98354056	33.01240411
16	17.95057833	32.96107196
17	17.92586394	32.91195318
18	17.89856592	32.86794183
19	17.87889943	32.8278168
20	17.85633566	32.78721696
21	17.83632286	32.74891983
22	17.83565716	32.73564431
23	17.83496133	32.72243223
24	17.83431887	32.70927637
25	17.80188388	32.65915194
26	17.77618216	32.61354859
27	17.74882998	32.56984054
28	17.74814747	32.55711357
29	17.72674247	32.51072919
30	17.69846766	32.46457315
31	17.67402438	32.4261682
32	17.65159045	32.38548484
33	17.65094897	32.37325946
34	17.65037104	32.36117487
35	17.63071701	32.32922577
36	17.60767168	32.28831521
37	17.60705864	32.27639133
38	17.60634753	32.26429951
39	17.60574389	32.25257087
40	17.60522256	32.24091408
41	17.60463576	32.22893739
42	17.60418213	32.21755029
43	17.6036519	32.20611345
44	17.60316462	32.19473759
45	17.58782028	32.16214982
46	17.58730529	32.15097542
47	17.5668142	32.10934654
48	17.56625592	32.0980631
49	17.56575474	32.08712855
50	17.54584571	32.05241528
51	17.52080159	32.01644275
52	17.52024775	32.00562877
53	17.51975021	31.99502363
54	17.50067349	31.96449507
55	17.48547944	31.93497075
56	17.46958417	31.90002765
57	17.46912882	31.88973843
58	17.46872794	31.87954224
59	17.4683145	31.86908815
60	17.4679275	31.85902023
61	17.46752904	31.84871042
62	17.467119	31.83846718
63	17.45361892	31.80720974
64	17.43184902	31.7701485
65	17.43151318	31.7604278
66	17.43122229	31.75081916
67	17.43085055	31.74111921
68	17.43054369	31.73161207
69	17.42999808	31.72179819
70	17.40902741	31.69585986
71	17.40872935	31.68653611
72	17.40827134	31.67717852
73	17.40777584	31.66791384
74	17.38901765	31.63858461
75	17.3657719	31.59992288
76	17.34243782	31.56562685
77	17.34210996	31.55638929
78	17.34168177	31.54739072
79	17.34126294	31.53844284
80	17.34091472	31.52956262
81	17.34043342	31.52031179
82	17.34010958	31.51152786
83	17.32390908	31.47840713
84	17.32356672	31.46978196
85	17.30966717	31.43827735
86	17.30919778	31.42964523
87	17.27442545	31.39642712
88	17.27407624	31.38798924
89	17.27381153	31.37965372
90	17.27354701	31.37136708
91	17.25440752	31.33758662
92	17.23484305	31.30675791
93	17.23456714	31.29859812
94	17.2343048	31.29051022
95	17.23395566	31.28222796
96	17.23366606	31.27427053
97	17.21092207	31.24117874
98	17.20378013	31.22014311
99	17.18753615	31.18847205
100	17.17804674	31.16467067
101	17.15807474	31.14074755
102	17.14513177	31.12031509
103	17.14486042	31.11268942
104	17.14466682	31.10522673
105	17.12759673	31.07793079
106	17.11132984	31.05291575
107	17.11110139	31.04556642
108	17.09420974	31.01923218
109	17.08161117	30.99567181
110	17.08130309	30.98846818
111	17.07192334	30.96612317
112	17.07177135	30.95919975
113	17.05705299	30.93691236
114	17.0568393	30.92993672
115	17.0565125	30.92296685
116	17.04489845	30.8975947
117	17.03343779	30.87902141
118	17.02051096	30.85600542
119	17.02030964	30.84926505
120	17.00774909	30.83002202
121	17.00754402	30.82327385
122	17.00728888	30.81655641
123	16.99531096	30.79901252
124	16.99510509	30.79247336
125	16.99488386	30.78586885
126	16.98338405	30.7653412
127	16.98312569	30.75910887
128	16.98296709	30.75284119
129	16.98277305	30.7465536
130	16.98255543	30.74028894
131	16.97257259	30.71809095
132	16.97237475	30.71202627
133	16.97221333	30.70683868
134	16.95997819	30.68581719
135	16.95966264	30.67966628
136	16.94883137	30.66173102
137	16.94862173	30.65541478
138	16.94309395	30.64060145
139	16.94290132	30.63471482
140	16.94266368	30.62882337
141	16.94255685	30.62322006
142	16.94236874	30.61749301
143	16.93490366	30.60104587
144	16.92649039	30.58447372
145	16.92627362	30.57881239
146	16.91597633	30.56110304
147	16.90481762	30.54185373
148	16.90465113	30.53635478
149	16.90449496	30.53099265
150	16.90428023	30.52552349
151	16.90408649	30.5201166
152	16.90394287	30.51472926
153	16.89563029	30.49703344
154	16.89545528	30.49173204
155	16.88352713	30.4702644
156	16.8833503	30.46502884
157	16.88297653	30.4592578
158	16.88277608	30.45409802
159	16.87127451	30.43455785
160	16.85405098	30.41193835
161	16.84766303	30.39747644
162	16.84746693	30.39246393
163	16.84022821	30.37773194
164	16.84004208	30.37269335
165	16.8230045	30.35312079
166	16.81492208	30.33704323
167	16.81468471	30.33199941
168	16.8075438	30.31588207
169	16.80738837	30.31085798
170	16.79768686	30.29534405
171	16.78648225	30.27801792
172	16.78633381	30.27328065
173	16.77995053	30.25809577
174	16.76777849	30.23854945
175	16.75465937	30.21942532
176	16.7544893	30.21474055
177	16.7485543	30.20051629
178	16.7426071	30.18612115
179	16.74251693	30.18170175
180	16.73443575	30.16752271
181	16.73422006	30.1629537
182	16.73403229	30.15848625
183	16.7339241	30.15413398
184	16.72488798	30.1423525
185	16.70685012	30.12215318
186	16.70667984	30.11772097
187	16.70384657	30.11007958
188	16.68895448	30.08953587
189	16.67251538	30.07207408
190	16.66705734	30.06016991
191	16.6558107	30.04323608
192	16.64559039	30.02592552
193	16.64551157	30.02183418
194	16.64538283	30.01776435
195	16.63908995	30.00327701
196	16.63057716	29.98731772
197	16.6305061	29.98337051
198	16.6304092	29.97947004
199	16.620216	29.96553877
200	16.61183229	29.95139781
201	16.61154967	29.94643164
202	16.60723738	29.93698031
203	16.60158841	29.92375769
204	16.6013221	29.9196529
205	16.59437879	29.90651154
206	16.59026081	29.8987499
207	16.57499525	29.87909288
208	16.57494213	29.8754377
209	16.56654726	29.86224401
210	16.56635104	29.85832541
211	16.55143228	29.84072657
212	16.54869882	29.83244609
213	16.54860706	29.82877835
214	16.54384346	29.81638726
215	16.53846951	29.80534042
216	16.53369256	29.79460321
217	16.5335858	29.79094573
218	16.52125354	29.77430134
219	16.51566555	29.76271029
220	16.51551509	29.75894109
221	16.50868761	29.74673532
222	16.49755446	29.73285074
223	16.49056474	29.72070455
224	16.49041541	29.71724273
225	16.48151296	29.70590403
226	16.47700842	29.69835798
227	16.46517611	29.68277257
228	16.4631655	29.67598264
229	16.45784315	29.66725638
230	16.45764771	29.66340349
231	16.4507452	29.65022393
232	16.4479915	29.64415311
233	16.44378348	29.63701882
234	16.43807469	29.62586655
235	16.43170727	29.61456327
236	16.42841022	29.60570652
237	16.42325079	29.59686624
238	16.4231658	29.5936668
239	16.41601599	29.58196362
240	16.41307963	29.57133436
241	16.41049771	29.56557275
242	16.40252908	29.55516869
243	16.39464851	29.54038003
244	16.39460828	29.53730352
245	16.38227233	29.52242788
246	16.37466675	29.51233594
247	16.37342281	29.50835921
248	16.37062647	29.50213611
249	16.35804755	29.48770467
250	16.35518024	29.48028409
251	16.35266756	29.47509507
252	16.34893401	29.46758841
253	16.34874614	29.46434339
254	16.34860718	29.46120287
255	16.34832108	29.45764774
256	16.34822554	29.45470313
257	16.33835169	29.4419244
258	16.33060841	29.4315232
