iter	Passed	Remaining
0	49	99273
1	96	95931
2	140	93667
3	190	94982
4	238	95011
5	286	95181
6	331	94386
7	380	94734
8	428	94854
9	473	94133
10	518	93832
11	565	93627
12	614	93849
13	662	94024
14	711	94127
15	759	94227
16	802	93641
17	847	93313
18	897	93625
19	944	93537
20	992	93518
21	1040	93513
22	1078	92710
23	1121	92324
24	1232	97401
25	1316	99928
26	1362	99554
27	1417	99865
28	1456	98998
29	1496	98239
30	1538	97688
31	1579	97164
32	1621	96652
33	1659	95933
34	1701	95507
35	1739	94898
36	1780	94456
37	1820	93980
38	1859	93511
39	1897	92995
40	1936	92545
41	1975	92108
42	2017	91799
43	2055	91354
44	2093	90966
45	2136	90760
46	2174	90344
47	2217	90159
48	2255	89796
49	2296	89565
50	2341	89486
51	2385	89358
52	2425	89085
53	2463	88792
54	2505	88589
55	2549	88487
56	2591	88334
57	2631	88109
58	2672	87935
59	2711	87686
60	2752	87493
61	2789	87202
62	2827	86929
63	2872	86885
64	2917	86843
65	2958	86701
66	2996	86449
67	3035	86246
68	3073	86017
69	3113	85846
70	3158	85813
71	3200	85708
72	3240	85541
73	3282	85425
74	3323	85307
75	3374	85424
76	3416	85330
77	3454	85131
78	3492	84919
79	3531	84766
80	3569	84570
81	3608	84402
82	3651	84338
83	3705	84529
84	3756	84627
85	3809	84779
86	3857	84824
87	3922	85214
88	3970	85256
89	4019	85302
90	4066	85310
91	4120	85452
92	4170	85512
93	4219	85561
94	4268	85599
95	4317	85637
96	4367	85678
97	4420	85801
98	4470	85844
99	4521	85908
100	4573	85997
101	4631	86182
102	4688	86357
103	4733	86289
104	4776	86196
105	4824	86200
106	4882	86373
107	4929	86365
108	4984	86476
109	5037	86555
110	5086	86559
111	5136	86594
112	5185	86595
113	5236	86627
114	5284	86623
115	5330	86568
116	5385	86671
117	5437	86728
118	5492	86818
119	5535	86728
120	5597	86921
121	5646	86919
122	5697	86942
123	5740	86853
124	5778	86674
125	5815	86492
126	5859	86423
127	5899	86281
128	5937	86119
129	5974	85940
130	6016	85833
131	6059	85744
132	6095	85560
133	6135	85438
134	6176	85321
135	6217	85221
136	6260	85135
137	6300	85013
138	6345	84950
139	6382	84789
140	6424	84702
141	6462	84564
142	6502	84437
143	6544	84357
144	6586	84259
145	6624	84118
146	6672	84111
147	6720	84093
148	6760	83983
149	6798	83843
150	6837	83729
151	6877	83610
152	6915	83486
153	6955	83370
154	6992	83237
155	7038	83203
156	7078	83094
157	7118	82989
158	7156	82864
159	7202	82832
160	7245	82757
161	7291	82725
162	7329	82598
163	7372	82532
164	7412	82435
165	7456	82385
166	7504	82374
167	7546	82296
168	7588	82215
169	7628	82117
170	7670	82041
171	7715	81999
172	7754	81892
173	7796	81821
174	7841	81771
175	7885	81720
176	7925	81630
177	7969	81577
178	8009	81481
179	8053	81430
180	8100	81405
181	8141	81328
182	8187	81293
183	8232	81249
184	8383	82252
185	8454	82453
186	8494	82358
187	8535	82272
188	8582	82236
189	8629	82212
190	8672	82141
191	8718	82100
192	8767	82084
193	8805	81973
194	8847	81894
195	8888	81807
196	8933	81766
197	8969	81632
198	9010	81550
199	9052	81475
200	9097	81425
201	9137	81330
202	9179	81262
203	9219	81171
204	9259	81078
205	9302	81010
206	9346	80957
207	9393	80928
208	9429	80806
209	9476	80771
210	9513	80665
211	9555	80591
212	9598	80525
213	9636	80421
214	9679	80361
215	9724	80313
216	9764	80227
217	9803	80138
218	9848	80094
219	9891	80033
220	9928	79918
221	9974	79883
222	10017	79827
223	10059	79760
224	10104	79712
225	10154	79705
226	10206	79717
227	10260	79744
228	10307	79712
229	10354	79683
230	10396	79614
231	10443	79588
232	10492	79572
233	10542	79567
234	10593	79561
235	10643	79554
236	10690	79526
237	10737	79496
238	10777	79408
239	10821	79358
240	10863	79287
241	10908	79247
242	10953	79198
243	10997	79146
244	11039	79079
245	11087	79054
246	11128	78981
247	11167	78893
248	11211	78837
249	11252	78767
250	11292	78687
251	11332	78605
252	11375	78548
253	11413	78458
254	11450	78360
255	11491	78284
256	11530	78198
257	11576	78165
258	11619	78106
259	11660	78035
260	11700	77960
261	11741	77889
262	11782	77819
263	11820	77728
264	11861	77660
265	11903	77594
266	11941	77505
267	11978	77413
268	12021	77359
269	12060	77273
270	12102	77215
271	12145	77158
272	12192	77127
273	12229	77037
274	12268	76956
275	12306	76873
276	12354	76849
277	12392	76760
278	12434	76702
279	12478	76653
280	12518	76582
281	12559	76512
282	12600	76450
283	12639	76368
284	12682	76316
285	12722	76244
286	12760	76163
287	12804	76116
288	12842	76033
289	12886	75988
290	12923	75895
291	12969	75864
292	13013	75815
293	13056	75762
294	13097	75701
295	13137	75632
296	13178	75567
297	13219	75500
298	13260	75440
299	13300	75371
300	13340	75300
301	13378	75223
302	13419	75155
303	13461	75102
304	13503	75044
305	13547	75000
306	13588	74937
307	13636	74910
308	13690	74921
309	13744	74927
310	13789	74888
311	13847	74919
312	13901	74923
313	13951	74913
314	14002	74903
315	14057	74915
316	14112	74927
317	14168	74943
318	14219	74933
319	14272	74932
320	14330	74958
321	14386	74970
322	14445	74999
323	14498	75000
324	14553	75005
325	14603	74989
326	14666	75038
327	14715	75012
328	14767	75006
329	14817	74987
330	14869	74975
331	14920	74959
332	14981	74996
333	15048	75060
334	15099	75045
335	15149	75027
336	15202	75021
337	15261	75040
338	15319	75058
339	15369	75039
340	15427	75056
341	15482	75060
342	15530	75026
343	15580	75002
344	15633	74994
345	15686	74986
346	15732	74943
347	15776	74893
348	15820	74842
349	15867	74805
350	15914	74768
351	15959	74718
352	16002	74663
353	16048	74622
354	16097	74592
355	16140	74534
356	16185	74489
357	16230	74441
358	16273	74387
359	16321	74351
360	16372	74335
361	16413	74269
362	16461	74237
363	16510	74207
364	16560	74179
365	16608	74150
366	16662	74139
367	16718	74143
368	16768	74118
369	16813	74072
370	16861	74037
371	16921	74053
372	16969	74018
373	17014	73973
374	17057	73916
375	17104	73876
376	17154	73852
377	17204	73825
378	17261	73827
379	17309	73793
380	17353	73741
381	17395	73681
382	17440	73632
383	17489	73602
384	17537	73568
385	17587	73537
386	17627	73471
387	17671	73418
388	17711	73350
389	17759	73313
390	17811	73297
391	17860	73263
392	17907	73223
393	17950	73166
394	17992	73109
395	18039	73068
396	18088	73037
397	18135	72997
398	18176	72932
399	18220	72881
400	18269	72850
401	18316	72809
402	18359	72755
403	18405	72712
404	18448	72654
405	18490	72594
406	18539	72563
407	18587	72526
408	18639	72505
409	18684	72459
410	18726	72401
411	18769	72344
412	18813	72294
413	18856	72238
414	18898	72179
415	18941	72122
416	18988	72085
417	19036	72048
418	19081	71998
419	19125	71946
420	19176	71922
421	19229	71904
422	19271	71846
423	19317	71802
424	19350	71711
425	19397	71671
426	19452	71659
427	19501	71626
428	19546	71579
429	19593	71537
430	19636	71485
431	19682	71439
432	19723	71378
433	19768	71332
434	19810	71272
435	19855	71223
436	19902	71184
437	19948	71140
438	19995	71098
439	20037	71043
440	20093	71034
441	20136	70977
442	20182	70934
443	20226	70882
444	20271	70836
445	20316	70790
446	20361	70743
447	20408	70699
448	20455	70661
449	20501	70615
450	20549	70580
451	20592	70524
452	20635	70470
453	20683	70432
454	20732	70400
455	20782	70370
456	20832	70338
457	20878	70294
458	20924	70251
459	20970	70204
460	21014	70153
461	21058	70104
462	21104	70059
463	21151	70019
464	21196	69970
465	21238	69913
466	21287	69879
467	21335	69842
468	21378	69789
469	21424	69744
470	21464	69679
471	21515	69650
472	21556	69590
473	21598	69534
474	21644	69488
475	21690	69444
476	21735	69398
477	21777	69342
478	21826	69308
479	21871	69260
480	21916	69211
481	21955	69146
482	22002	69104
483	22044	69049
484	22098	69028
485	22140	68971
486	22180	68910
487	22227	68867
488	22272	68822
489	22314	68766
490	22361	68723
491	22408	68682
492	22450	68625
493	22492	68571
494	22531	68505
495	22571	68443
496	22610	68378
497	22652	68320
498	22695	68267
499	22734	68203
500	22772	68135
501	22813	68078
502	22851	68009
503	22888	67938
504	22930	67882
505	22965	67806
506	23002	67736
507	23042	67676
508	23076	67598
509	23114	67529
510	23157	67478
511	23201	67430
512	23245	67378
513	23281	67307
514	23325	67260
515	23368	67207
516	23405	67136
517	23444	67076
518	23484	67015
519	23524	66955
520	23566	66900
